caller_type,caller_method,caller_rid,il_offset,opcode,target_kind,target_type,target_method,target_token
KAutoHelper.ADBHelper,Key,7,20,call,MethodDef,KAutoHelper.ADBHelper,ExecuteCMD,0x06000002
KAutoHelper.ADBHelper,InputText,8,18,callvirt,MemberRef,System.String,Replace,0x0A000031
KAutoHelper.ADBHelper,InputText,8,33,callvirt,MemberRef,System.String,Replace,0x0A000031
KAutoHelper.ADBHelper,InputText,8,48,callvirt,MemberRef,System.String,Replace,0x0A000031
KAutoHelper.ADBHelper,InputText,8,63,callvirt,MemberRef,System.String,Replace,0x0A000031
KAutoHelper.ADBHelper,InputText,8,78,callvirt,MemberRef,System.String,Replace,0x0A000031
KAutoHelper.ADBHelper,InputText,8,93,callvirt,MemberRef,System.String,Replace,0x0A000031
KAutoHelper.ADBHelper,InputText,8,108,callvirt,MemberRef,System.String,Replace,0x0A000031
KAutoHelper.ADBHelper,InputText,8,123,callvirt,MemberRef,System.String,Replace,0x0A000031
KAutoHelper.ADBHelper,InputText,8,138,callvirt,MemberRef,System.String,Replace,0x0A000031
KAutoHelper.ADBHelper,InputText,8,153,callvirt,MemberRef,System.String,Replace,0x0A000031
KAutoHelper.ADBHelper,InputText,8,168,callvirt,MemberRef,System.String,Replace,0x0A000031
KAutoHelper.ADBHelper,InputText,8,173,call,MemberRef,System.String,Format,0x0A000037
KAutoHelper.ADBHelper,InputText,8,180,call,MethodDef,KAutoHelper.ADBHelper,ExecuteCMD,0x06000002
KAutoHelper.ADBHelper,SwipeByPercent,9,2,call,MethodDef,KAutoHelper.ADBHelper,GetScreenResolution,0x0600000C
KAutoHelper.ADBHelper,SwipeByPercent,9,11,call,MemberRef,System.Drawing.Point,get_X,0x0A000033
KAutoHelper.ADBHelper,SwipeByPercent,9,43,call,MemberRef,System.Drawing.Point,get_Y,0x0A000034
KAutoHelper.ADBHelper,SwipeByPercent,9,75,call,MemberRef,System.Drawing.Point,get_X,0x0A000033
KAutoHelper.ADBHelper,SwipeByPercent,9,108,call,MemberRef,System.Drawing.Point,get_Y,0x0A000034
KAutoHelper.ADBHelper,SwipeByPercent,9,200,call,MemberRef,System.String,Format,0x0A000038
KAutoHelper.ADBHelper,SwipeByPercent,9,209,call,MethodDef,KAutoHelper.ADBHelper,ExecuteCMD,0x06000002
KAutoHelper.ADBHelper,Swipe,10,63,call,MemberRef,System.String,Format,0x0A000038
KAutoHelper.ADBHelper,Swipe,10,70,call,MethodDef,KAutoHelper.ADBHelper,ExecuteCMD,0x06000002
KAutoHelper.ADBHelper,LongPress,11,61,call,MemberRef,System.String,Format,0x0A000038
KAutoHelper.ADBHelper,LongPress,11,68,call,MethodDef,KAutoHelper.ADBHelper,ExecuteCMD,0x06000002
KAutoHelper.ADBHelper,GetScreenResolution,12,7,call,MemberRef,System.String,Format,0x0A000039
KAutoHelper.ADBHelper,GetScreenResolution,12,14,call,MethodDef,KAutoHelper.ADBHelper,ExecuteCMD,0x06000002
KAutoHelper.ADBHelper,GetScreenResolution,12,27,callvirt,MemberRef,System.String,IndexOf,0x0A00003A
KAutoHelper.ADBHelper,GetScreenResolution,12,32,callvirt,MemberRef,System.String,Substring,0x0A00003B
KAutoHelper.ADBHelper,GetScreenResolution,12,42,callvirt,MemberRef,System.String,IndexOf,0x0A00003C
KAutoHelper.ADBHelper,GetScreenResolution,12,50,callvirt,MemberRef,System.String,IndexOf,0x0A00003C
KAutoHelper.ADBHelper,GetScreenResolution,12,58,callvirt,MemberRef,System.String,IndexOf,0x0A00003C
KAutoHelper.ADBHelper,GetScreenResolution,12,64,callvirt,MemberRef,System.String,Substring,0x0A00003D
KAutoHelper.ADBHelper,GetScreenResolution,12,82,callvirt,MemberRef,System.String,Split,0x0A00003E
KAutoHelper.ADBHelper,GetScreenResolution,12,91,callvirt,MemberRef,System.String,Trim,0x0A000030
KAutoHelper.ADBHelper,GetScreenResolution,12,96,call,MemberRef,System.Convert,ToInt32,0x0A00003F
KAutoHelper.ADBHelper,GetScreenResolution,12,105,callvirt,MemberRef,System.String,Trim,0x0A000030
KAutoHelper.ADBHelper,GetScreenResolution,12,110,call,MemberRef,System.Convert,ToInt32,0x0A00003F
KAutoHelper.ADBHelper,GetScreenResolution,12,120,newobj,MemberRef,System.Drawing.Point,.ctor,0x0A000040
KAutoHelper.ADBHelper,ScreenShoot,13,2,call,MemberRef,System.String,IsNullOrEmpty,0x0A00002E
KAutoHelper.ADBHelper,ScreenShoot,13,14,call,MethodDef,KAutoHelper.ADBHelper,GetDevices,0x06000003
KAutoHelper.ADBHelper,ScreenShoot,13,27,callvirt,MemberRef,,get_Count,0x0A000041
KAutoHelper.ADBHelper,ScreenShoot,13,47,call,Table0x2B,,,0x2B000001
KAutoHelper.ADBHelper,ScreenShoot,13,82,callvirt,MemberRef,System.String,Split,0x0A00003E
KAutoHelper.ADBHelper,ScreenShoot,13,99,call,MemberRef,System.IO.Path,GetFileNameWithoutExtension,0x0A000043
KAutoHelper.ADBHelper,ScreenShoot,13,106,call,MemberRef,System.IO.Path,GetExtension,0x0A000044
KAutoHelper.ADBHelper,ScreenShoot,13,111,call,MemberRef,System.String,Concat,0x0A000036
KAutoHelper.ADBHelper,ScreenShoot,13,121,call,MemberRef,System.IO.File,Exists,0x0A000013
KAutoHelper.ADBHelper,ScreenShoot,13,135,call,MemberRef,System.IO.File,Delete,0x0A000045
KAutoHelper.ADBHelper,ScreenShoot,13,172,call,MemberRef,System.String,Concat,0x0A000012
KAutoHelper.ADBHelper,ScreenShoot,13,177,call,MemberRef,System.String,Format,0x0A000037
KAutoHelper.ADBHelper,ScreenShoot,13,184,call,MemberRef,System.Environment,get_NewLine,0x0A000046
KAutoHelper.ADBHelper,ScreenShoot,13,201,call,MemberRef,System.String,Concat,0x0A000012
KAutoHelper.ADBHelper,ScreenShoot,13,206,call,MemberRef,System.String,Format,0x0A000037
KAutoHelper.ADBHelper,ScreenShoot,13,211,call,MemberRef,System.String,Concat,0x0A000036
KAutoHelper.ADBHelper,ScreenShoot,13,218,call,MemberRef,System.Environment,get_NewLine,0x0A000046
KAutoHelper.ADBHelper,ScreenShoot,13,235,call,MemberRef,System.String,Concat,0x0A000012
KAutoHelper.ADBHelper,ScreenShoot,13,240,call,MemberRef,System.String,Format,0x0A000037
KAutoHelper.ADBHelper,ScreenShoot,13,245,call,MemberRef,System.Environment,get_NewLine,0x0A000046
KAutoHelper.ADBHelper,ScreenShoot,13,250,call,MemberRef,System.String,Concat,0x0A000047
KAutoHelper.ADBHelper,ScreenShoot,13,257,call,MethodDef,KAutoHelper.ADBHelper,ExecuteCMD,0x06000002
KAutoHelper.ADBHelper,ScreenShoot,13,264,newobj,MemberRef,System.Drawing.Bitmap,.ctor,0x0A000048
KAutoHelper.ADBHelper,ScreenShoot,13,274,newobj,MemberRef,System.Drawing.Bitmap,.ctor,0x0A000049
KAutoHelper.ADBHelper,ScreenShoot,13,290,callvirt,MemberRef,System.IDisposable,Dispose,0x0A00004A
KAutoHelper.ADBHelper,ScreenShoot,13,307,call,MemberRef,System.IO.File,Delete,0x0A000045
KAutoHelper.ADBHelper,ConnectNox,14,39,call,MemberRef,System.String,Concat,0x0A00004B
KAutoHelper.ADBHelper,ConnectNox,14,63,call,MemberRef,System.String,Concat,0x0A00004B
KAutoHelper.ADBHelper,ConnectNox,14,87,call,MemberRef,System.Environment,get_NewLine,0x0A000046
KAutoHelper.ADBHelper,ConnectNox,14,112,call,MemberRef,System.String,Concat,0x0A00004C
KAutoHelper.ADBHelper,ConnectNox,14,138,call,MethodDef,KAutoHelper.ADBHelper,ExecuteCMD,0x06000002
KAutoHelper.ADBHelper,PlanModeON,15,3,call,MemberRef,System.Threading.CancellationToken,get_IsCancellationRequested,0x0A00004D
KAutoHelper.ADBHelper,PlanModeON,15,26,call,MemberRef,System.String,Concat,0x0A000036
KAutoHelper.ADBHelper,PlanModeON,15,44,call,MemberRef,System.Environment,get_NewLine,0x0A000046
KAutoHelper.ADBHelper,PlanModeON,15,70,call,MemberRef,System.String,Concat,0x0A00004E
KAutoHelper.ADBHelper,PlanModeON,15,77,call,MethodDef,KAutoHelper.ADBHelper,ExecuteCMD,0x06000002
KAutoHelper.ADBHelper,PlanModeOFF,16,3,call,MemberRef,System.Threading.CancellationToken,get_IsCancellationRequested,0x0A00004D
KAutoHelper.ADBHelper,PlanModeOFF,16,26,call,MemberRef,System.String,Concat,0x0A000036
KAutoHelper.ADBHelper,PlanModeOFF,16,44,call,MemberRef,System.Environment,get_NewLine,0x0A000046
KAutoHelper.ADBHelper,PlanModeOFF,16,70,call,MemberRef,System.String,Concat,0x0A00004E
KAutoHelper.ADBHelper,PlanModeOFF,16,77,call,MethodDef,KAutoHelper.ADBHelper,ExecuteCMD,0x06000002
KAutoHelper.ADBHelper,Delay,17,23,call,MemberRef,System.TimeSpan,FromMilliseconds,0x0A00004F
KAutoHelper.ADBHelper,Delay,17,28,call,MemberRef,System.Threading.Thread,Sleep,0x0A000050
KAutoHelper.ADBHelper,FindImage,18,2,newobj,MemberRef,System.IO.DirectoryInfo,.ctor,0x0A000051
KAutoHelper.ADBHelper,FindImage,18,9,callvirt,MemberRef,System.IO.DirectoryInfo,GetFiles,0x0A000052
KAutoHelper.ADBHelper,FindImage,18,29,call,MethodDef,KAutoHelper.ADBHelper,ScreenShoot,0x0600000D
KAutoHelper.ADBHelper,FindImage,18,53,call,MethodDef,KAutoHelper.ADBHelper,Delay,0x06000011
KAutoHelper.ADBHelper,FindImage,18,128,callvirt,MemberRef,System.IO.FileSystemInfo,get_FullName,0x0A000053
KAutoHelper.ADBHelper,FindImage,18,133,call,MemberRef,System.Drawing.Image,FromFile,0x0A000054
KAutoHelper.ADBHelper,FindImage,18,157,call,MethodDef,KAutoHelper.ImageScanOpenCV,FindOutPoint,0x0600007F
KAutoHelper.ADBHelper,FindImage,18,166,call,MemberRef,,get_HasValue,0x0A000055
KAutoHelper.ADBHelper,FindImage,18,196,call,MemberRef,,get_HasValue,0x0A000055
KAutoHelper.ADBHelper,FindImage,18,224,call,MethodDef,KAutoHelper.ADBHelper,Delay,0x06000011
KAutoHelper.ADBHelper,FindImageAndClick,19,2,newobj,MemberRef,System.IO.DirectoryInfo,.ctor,0x0A000051
KAutoHelper.ADBHelper,FindImageAndClick,19,9,callvirt,MemberRef,System.IO.DirectoryInfo,GetFiles,0x0A000052
KAutoHelper.ADBHelper,FindImageAndClick,19,29,call,MethodDef,KAutoHelper.ADBHelper,ScreenShoot,0x0600000D
KAutoHelper.ADBHelper,FindImageAndClick,19,53,call,MethodDef,KAutoHelper.ADBHelper,Delay,0x06000011
KAutoHelper.ADBHelper,FindImageAndClick,19,119,callvirt,MemberRef,System.IO.FileSystemInfo,get_FullName,0x0A000053
KAutoHelper.ADBHelper,FindImageAndClick,19,124,call,MemberRef,System.Drawing.Image,FromFile,0x0A000054
KAutoHelper.ADBHelper,FindImageAndClick,19,148,call,MethodDef,KAutoHelper.ImageScanOpenCV,FindOutPoint,0x0600007F
KAutoHelper.ADBHelper,FindImageAndClick,19,157,call,MemberRef,,get_HasValue,0x0A000055
KAutoHelper.ADBHelper,FindImageAndClick,19,187,call,MemberRef,,get_HasValue,0x0A000055
KAutoHelper.ADBHelper,FindImageAndClick,19,202,call,MemberRef,,get_Value,0x0A000056
KAutoHelper.ADBHelper,FindImageAndClick,19,211,call,MemberRef,System.Drawing.Point,get_X,0x0A000033
KAutoHelper.ADBHelper,FindImageAndClick,19,218,call,MemberRef,,get_Value,0x0A000056
KAutoHelper.ADBHelper,FindImageAndClick,19,227,call,MemberRef,System.Drawing.Point,get_Y,0x0A000034
KAutoHelper.ADBHelper,FindImageAndClick,19,233,call,MethodDef,KAutoHelper.ADBHelper,Tap,0x06000006
KAutoHelper.ADBHelper,FindImageAndClick,19,247,call,MethodDef,KAutoHelper.ADBHelper,Delay,0x06000011
KAutoHelper.ADBHelper,.ctor,20,1,call,MemberRef,System.Object,.ctor,0x0A000057
KAutoHelper.BitmapConversion,BitmapToBitmapSource,22,14,callvirt,MemberRef,System.Drawing.Bitmap,GetHbitmap,0x0A000058
KAutoHelper.BitmapConversion,BitmapToBitmapSource,22,24,call,MemberRef,System.Windows.Int32Rect,get_Empty,0x0A00005A
KAutoHelper.BitmapConversion,BitmapToBitmapSource,22,29,call,MemberRef,System.Windows.Media.Imaging.BitmapSizeOptions,FromEmptyOptions,0x0A00005B
KAutoHelper.BitmapConversion,BitmapToBitmapSource,22,34,call,MemberRef,System.Windows.Interop.Imaging,CreateBitmapSourceFromHBitmap,0x0A00005C
KAutoHelper.NoxMultiIni,GetNoxMultiIni,29,1,newobj,MemberRef,,.ctor,0x0A00005D
KAutoHelper.NoxMultiIni,GetNoxMultiIni,29,9,call,MemberRef,System.Environment,GetFolderPath,0x0A00005E
KAutoHelper.NoxMultiIni,GetNoxMultiIni,29,14,call,MemberRef,System.IO.Directory,GetParent,0x0A00005F
KAutoHelper.NoxMultiIni,GetNoxMultiIni,29,19,callvirt,MemberRef,System.IO.FileSystemInfo,get_FullName,0x0A000053
KAutoHelper.NoxMultiIni,GetNoxMultiIni,29,31,call,MemberRef,System.String,Concat,0x0A000012
KAutoHelper.NoxMultiIni,GetNoxMultiIni,29,36,call,MemberRef,System.IO.File,ReadAllLines,0x0A000060
KAutoHelper.NoxMultiIni,GetNoxMultiIni,29,47,newobj,MethodDef,KAutoHelper.NoxMultiIni,.ctor,0x0600001F
KAutoHelper.NoxMultiIni,GetNoxMultiIni,29,72,callvirt,MemberRef,System.String,Split,0x0A00003E
KAutoHelper.NoxMultiIni,GetNoxMultiIni,29,79,call,MemberRef,System.Convert,ToInt32,0x0A00003F
KAutoHelper.NoxMultiIni,GetNoxMultiIni,29,84,callvirt,MethodDef,KAutoHelper.NoxMultiIni,set_pid,0x06000018
KAutoHelper.NoxMultiIni,GetNoxMultiIni,29,108,callvirt,MemberRef,System.String,Split,0x0A00003E
KAutoHelper.NoxMultiIni,GetNoxMultiIni,29,115,call,MemberRef,System.Convert,ToInt32,0x0A00003F
KAutoHelper.NoxMultiIni,GetNoxMultiIni,29,120,callvirt,MethodDef,KAutoHelper.NoxMultiIni,set_vmpid,0x0600001A
KAutoHelper.NoxMultiIni,GetNoxMultiIni,29,129,callvirt,MemberRef,,Add,0x0A000061
KAutoHelper.NoxMultiIni,GetNoxTitleFromADBPort,30,0,newobj,MethodDef,<>c__DisplayClass13_0,.ctor,0x060000B6
KAutoHelper.NoxMultiIni,GetNoxTitleFromADBPort,30,14,call,MethodDef,KAutoHelper.ProcessHelper,GetNetStatPorts,0x0600009E
KAutoHelper.NoxMultiIni,GetNoxTitleFromADBPort,30,19,call,MethodDef,KAutoHelper.NoxMultiIni,set_Ports,0x0600001C
KAutoHelper.NoxMultiIni,GetNoxTitleFromADBPort,30,25,call,MethodDef,KAutoHelper.NoxMultiIni,GetNoxMultiIni,0x0600001D
KAutoHelper.NoxMultiIni,GetNoxTitleFromADBPort,30,32,call,MethodDef,KAutoHelper.NoxMultiIni,get_Ports,0x0600001B
KAutoHelper.NoxMultiIni,GetNoxTitleFromADBPort,30,44,newobj,MemberRef,,.ctor,0x0A000062
KAutoHelper.NoxMultiIni,GetNoxTitleFromADBPort,30,49,call,Table0x2B,,,0x2B000002
KAutoHelper.NoxMultiIni,GetNoxTitleFromADBPort,30,54,call,Table0x2B,,,0x2B000003
KAutoHelper.NoxMultiIni,GetNoxTitleFromADBPort,30,72,newobj,MemberRef,,.ctor,0x0A000065
KAutoHelper.NoxMultiIni,GetNoxTitleFromADBPort,30,77,call,Table0x2B,,,0x2B000004
KAutoHelper.NoxMultiIni,GetNoxTitleFromADBPort,30,82,call,Table0x2B,,,0x2B000005
KAutoHelper.NoxMultiIni,GetNoxTitleFromADBPort,30,89,callvirt,MethodDef,KAutoHelper.NoxMultiIni,get_pid,0x06000017
KAutoHelper.NoxMultiIni,GetNoxTitleFromADBPort,30,94,call,MemberRef,System.Diagnostics.Process,GetProcessById,0x0A000066
KAutoHelper.NoxMultiIni,GetNoxTitleFromADBPort,30,101,callvirt,MemberRef,System.Diagnostics.Process,get_MainWindowTitle,0x0A000067
KAutoHelper.NoxMultiIni,.ctor,31,1,call,MemberRef,System.Object,.ctor,0x0A000057
KAutoHelper.AutoControl,BringToFront,54,3,call,MethodDef,KAutoHelper.AutoControl,FindWindow,0x06000020
KAutoHelper.AutoControl,BringToFront,54,10,call,MethodDef,KAutoHelper.AutoControl,SetForegroundWindow,0x0600002F
KAutoHelper.AutoControl,BringToFront,55,2,call,MethodDef,KAutoHelper.AutoControl,SetForegroundWindow,0x0600002F
KAutoHelper.AutoControl,IsWindowVisible_,56,2,call,MethodDef,KAutoHelper.AutoControl,IsWindowVisible,0x06000035
KAutoHelper.AutoControl,FindWindowHandle,57,9,call,MethodDef,KAutoHelper.AutoControl,FindWindow,0x06000020
KAutoHelper.AutoControl,FindWindowHandlesFromProcesses,58,1,call,MemberRef,System.Diagnostics.Process,GetProcesses,0x0A000068
KAutoHelper.AutoControl,FindWindowHandlesFromProcesses,58,7,newobj,MemberRef,,.ctor,0x0A000069
KAutoHelper.AutoControl,FindWindowHandlesFromProcesses,58,36,callvirt,MemberRef,System.Diagnostics.Process,get_MainWindowHandle,0x0A00006A
KAutoHelper.AutoControl,FindWindowHandlesFromProcesses,58,45,call,MethodDef,KAutoHelper.AutoControl,GetClassName,0x06000066
KAutoHelper.AutoControl,FindWindowHandlesFromProcesses,58,54,call,MethodDef,KAutoHelper.AutoControl,GetText,0x06000065
KAutoHelper.AutoControl,FindWindowHandlesFromProcesses,58,64,call,MemberRef,System.String,op_Equality,0x0A00006B
KAutoHelper.AutoControl,FindWindowHandlesFromProcesses,58,74,call,MemberRef,System.String,op_Equality,0x0A00006B
KAutoHelper.AutoControl,FindWindowHandlesFromProcesses,58,92,callvirt,MemberRef,,Add,0x0A00006C
KAutoHelper.AutoControl,FindWindowHandleFromProcesses,59,1,call,MemberRef,System.Diagnostics.Process,GetProcesses,0x0A000068
KAutoHelper.AutoControl,FindWindowHandleFromProcesses,59,35,newobj,MemberRef,,.ctor,0x0A00006D
KAutoHelper.AutoControl,FindWindowHandleFromProcesses,59,46,call,Table0x2B,,,0x2B000006
KAutoHelper.AutoControl,FindWindowHandleFromProcesses,59,51,callvirt,MemberRef,,GetEnumerator,0x0A00006E
KAutoHelper.AutoControl,FindWindowHandleFromProcesses,59,60,callvirt,MemberRef,,get_Current,0x0A00006F
KAutoHelper.AutoControl,FindWindowHandleFromProcesses,59,68,callvirt,MemberRef,System.Diagnostics.Process,get_MainWindowHandle,0x0A00006A
KAutoHelper.AutoControl,FindWindowHandleFromProcesses,59,77,call,MethodDef,KAutoHelper.AutoControl,GetClassName,0x06000066
KAutoHelper.AutoControl,FindWindowHandleFromProcesses,59,86,call,MethodDef,KAutoHelper.AutoControl,GetText,0x06000065
KAutoHelper.AutoControl,FindWindowHandleFromProcesses,59,96,call,MemberRef,System.String,op_Equality,0x0A00006B
KAutoHelper.AutoControl,FindWindowHandleFromProcesses,59,106,call,MemberRef,System.String,op_Equality,0x0A00006B
KAutoHelper.AutoControl,FindWindowHandleFromProcesses,59,128,callvirt,MemberRef,System.Collections.IEnumerator,MoveNext,0x0A000070
KAutoHelper.AutoControl,FindWindowHandleFromProcesses,59,141,callvirt,MemberRef,System.IDisposable,Dispose,0x0A00004A
KAutoHelper.AutoControl,FindWindowExFromParent,60,9,call,MethodDef,KAutoHelper.AutoControl,FindWindowEx,0x0600002C
KAutoHelper.AutoControl,FindWindowByIndex,61,31,call,MethodDef,KAutoHelper.AutoControl,FindWindowEx,0x0600002C
KAutoHelper.AutoControl,FindWindowByIndex,61,43,call,MemberRef,System.IntPtr,op_Inequality,0x0A000071
KAutoHelper.AutoControl,FindWindowByIndex,61,69,call,MemberRef,System.IntPtr,op_Inequality,0x0A000071
KAutoHelper.AutoControl,GetControlHandleFromControlID,62,3,call,MethodDef,KAutoHelper.AutoControl,GetDlgItem,0x0600002A
KAutoHelper.AutoControl,GetChildHandle,63,1,newobj,MemberRef,,.ctor,0x0A000069
KAutoHelper.AutoControl,GetChildHandle,63,8,call,MemberRef,System.Runtime.InteropServices.GCHandle,Alloc,0x0A000072
KAutoHelper.AutoControl,GetChildHandle,63,15,call,MemberRef,System.Runtime.InteropServices.GCHandle,ToIntPtr,0x0A000073
KAutoHelper.AutoControl,GetChildHandle,63,42,newobj,MethodDef,EnumWindowProc,.ctor,0x060000BD
KAutoHelper.AutoControl,GetChildHandle,63,57,call,MethodDef,KAutoHelper.AutoControl,EnumChildWindows,0x06000031
KAutoHelper.AutoControl,GetChildHandle,63,69,call,MemberRef,System.Runtime.InteropServices.GCHandle,Free,0x0A000074
KAutoHelper.AutoControl,FindHandleWithText,64,0,newobj,MethodDef,<>c__DisplayClass35_0,.ctor,0x060000C5
KAutoHelper.AutoControl,FindHandleWithText,64,29,newobj,MemberRef,,.ctor,0x0A000075
KAutoHelper.AutoControl,FindHandleWithText,64,34,callvirt,MemberRef,,Find,0x0A000076
KAutoHelper.AutoControl,FindHandlesWithText,65,0,newobj,MethodDef,<>c__DisplayClass36_0,.ctor,0x060000C7
KAutoHelper.AutoControl,FindHandlesWithText,65,21,newobj,MemberRef,,.ctor,0x0A000069
KAutoHelper.AutoControl,FindHandlesWithText,65,35,newobj,MemberRef,,.ctor,0x0A000077
KAutoHelper.AutoControl,FindHandlesWithText,65,40,call,Table0x2B,,,0x2B000007
KAutoHelper.AutoControl,FindHandlesWithText,65,47,call,Table0x2B,,,0x2B000008
